香港闽信保险有限公司	外资保险公司代表处	1997-3-5	请选择	
民生人寿保险股份有限公司福建分公司平潭支公司	保险公司－人身险	2016-11-18	营业	
民生人寿保险股份有限公司福建分公司平潭营销服务部	保险公司－人身险	2005-12-25	改建	
民生人寿保险股份有限公司福建分公司长乐营销服务部	保险公司－人身险	2005-7-14	营业	
民生人寿保险股份有限公司三明中心支公司	保险公司－人身险	2007-2-13	营业	
民生人寿保险股份有限公司尤溪支公司	保险公司－人身险	2012-7-12	营业	
民生人寿保险股份有限公司三明中心支公司沙县营销服务部	保险公司－人身险	2008-4-23	营业	
民生人寿保险股份有限公司三明中心支公司泰宁营销服务部	保险公司－人身险	2008-1-29	营业	
民生人寿保险股份有限公司三明中心支公司永安营销服务部	保险公司－人身险	2007-7-10	营业	
民生人寿保险股份有限公司泉州中心支公司	保险公司－人身险	2008-8-5	营业	
民生人寿保险股份有限公司泉州中心支公司泉港营销服务部	保险公司－人身险	2007-4-17	营业	
民生人寿保险股份有限公司泉州中心支公司惠安营销服务部	保险公司－人身险	2005-4-22	营业	
民生人寿保险股份有限公司安溪支公司	保险公司－人身险	2010-6-7	营业	
民生人寿保险股份有限公司泉州中心支公司石狮营销服务部	保险公司－人身险	2005-4-22	营业	
民生人寿保险股份有限公司泉州中心支公司晋江营销服务部	保险公司－人身险	2005-5-23	营业	
民生人寿保险股份有限公司泉州中心支公司南安营销服务部	保险公司－人身险	2005-4-5	营业	
民生人寿保险股份有限公司泉州中心支公司洪濑营销服务部	保险公司－人身险	2007-4-17	营业	
民生人寿保险股份有限公司漳州中心支公司	保险公司－人身险	2009-9-30	营业	
民生人寿保险股份有限公司漳州中心支公司漳浦县营销服务部	保险公司－人身险	2005-1-14	营业	
民生人寿保险股份有限公司漳州中心支公司诏安县营销服务部	保险公司－人身险	2005-1-14	营业	
民生人寿保险股份有限公司漳州中心支公司东山营销服务部	保险公司－人身险	2008-9-26	营业	
民生人寿保险股份有限公司漳州中心支公司平和县营销服务部	保险公司－人身险	2005-1-21	营业	
民生人寿保险股份有限公司漳州中心支公司龙海市浮宫镇营销服务部	保险公司－人身险	2006-5-24	营业	
民生人寿保险股份有限公司南平中心支公司	保险公司－人身险	2008-7-26	营业	
民生人寿保险股份有限公司浦城支公司	保险公司－人身险	2012-8-28	营业	
民生人寿保险股份有限公司南平中心支公司邵武营销服务部	保险公司－人身险	2008-7-23	营业	
民生人寿保险股份有限公司龙岩中心支公司	保险公司－人身险	2006-6-30	营业	
民生人寿保险股份有限公司上杭支公司	保险公司－人身险	2013-8-13	营业	
民生人寿保险股份有限公司龙岩中心支公司连城营销服务部	保险公司－人身险	2007-11-20	营业	
民生人寿保险股份有限公司宁德中心支公司	保险公司－人身险	2012-12-25	营业	
富德生命人寿保险股份有限公司福建分公司	保险公司－人身险	2005-7-21	营业	
富德生命人寿保险股份有限公司福建分公司榕城营销服务部	保险公司－人身险	2005-12-7	营业	
富德生命人寿保险股份有限公司福建分公司连江营销服务部	保险公司－人身险	2006-12-19	营业	
富德生命人寿保险股份有限公司福建分公司闽清营销服务部	保险公司－人身险	2008-6-3	营业	
富德生命人寿保险股份有限公司福建分公司福清营销服务部	保险公司－人身险	2005-9-15	营业	
富德生命人寿保险股份有限公司莆田中心支公司	保险公司－人身险	2010-9-20	营业	
富德生命人寿保险股份有限公司莆田中心支公司仙游营销服务部	保险公司－人身险	2012-9-14	营业	
富德生命人寿保险股份有限公司三明中心支公司	保险公司－人身险	2007-11-26	营业	
富德生命人寿保险股份有限公司三明中心支公司大田营销服务部	保险公司－人身险	2008-4-11	营业	
富德生命人寿保险股份有限公司三明中心支公司尤溪营销服务部	保险公司－人身险	2013-12-17	营业	
富德生命人寿保险股份有限公司三明中心支公司沙县营销服务部	保险公司－人身险	2011-5-31	营业	
富德生命人寿保险股份有限公司三明中心支公司将乐营销服务部	保险公司－人身险	2008-2-28	营业	
富德生命人寿保险股份有限公司三明中心支公司永安营销服务部	保险公司－人身险	2010-7-28	营业	
富德生命人寿保险股份有限公司泉州中心支公司	保险公司－人身险	2006-2-15	营业	
富德生命人寿保险股份有限公司福建分公司泉州丰泽营销服务部	保险公司－人身险	2007-5-10	营业	
富德生命人寿保险股份有限公司福建分公司泉州中心支公司泉安营销服务部	保险公司－人身险	2007-5-29	营业	
富德生命人寿保险股份有限公司福建分公司惠安营销服务部	保险公司－人身险	2006-12-19	营业	
富德生命人寿保险股份有限公司泉州中心支公司惠安县净峰营销服务部	保险公司－人身险	2008-4-25	营业	
富德生命人寿保险股份有限公司福建分公司石狮营销服务部	保险公司－人身险	2007-4-2	营业	
富德生命人寿保险股份有限公司福建分公司晋江营销服务部	保险公司－人身险	2007-4-3	营业	
富德生命人寿保险股份有限公司福建分公司晋江市安海营销服务部	保险公司－人身险	2007-4-3	营业	
富德生命人寿保险股份有限公司福建分公司晋江市池店营销服务部	保险公司－人身险	2006-11-22	营业	
富德生命人寿保险股份有限公司福建分公司晋江市金井营销服务部	保险公司－人身险	2007-5-8	营业	
